full_text,text_final,tokens,jumlah_pos_kata,jumlah_neg_kata,sentiment_score,sentiment_label
PLN sebagai BUMN terus mendukung penuh program Makan Bergizi Gratis (MBG) dari Pemerintah ini dengan memastikan pasokan listrik andal di 238 titik Satuan Pelayanan Pemenuhan Gizi (SPPG) di 31 provinsi. #AstaCitaPemerintah #MakanBergiziGratis #AnakGenerasiEmas #PLNDukungMBG https://t.co/fQi5UM24ZO,pln bumn terus dukung penuh makan pemerintah pasti pasok listrik andal titik satu layan penuh sppg provinsi asta cita pemerintah makan anak generasi emas pln dukung,"['pln', 'bumn', 'terus', 'dukung', 'penuh', 'makan', 'pemerintah', 'pasti', 'pasok', 'listrik', 'andal', 'titik', 'satu', 'layan', 'penuh', 'sppg', 'provinsi', 'asta', 'cita', 'pemerintah', 'makan', 'anak', 'generasi', 'emas', 'pln', 'dukung']",6,3,18.0,POSITIVE
Solusi permodalan UMKM maju bersama MBG! #IndonesiaEmas #PresidenPrabowo #MakanBergiziGratis #bergizigratis #cegahstunting https://t.co/tR1qoeQQGT,solusi modal umkm maju sama indonesia emas presiden prabowo makan,"['solusi', 'modal', 'umkm', 'maju', 'sama', 'indonesia', 'emas', 'presiden', 'prabowo', 'makan']",3,1,6.0,POSITIVE
Solusi permodalan UMKM maju bersama MBG! #IndonesiaEmas #PresidenPrabowo #MakanBergiziGratis #bergizigratis #cegahstunting #planecrash #FireAid #แก๊งโอริโอ้ https://t.co/pd2jzcYuZY,solusi modal umkm maju sama indonesia emas presiden prabowo makan planecrash fire aid,"['solusi', 'modal', 'umkm', 'maju', 'sama', 'indonesia', 'emas', 'presiden', 'prabowo', 'makan', 'planecrash', 'fire', 'aid']",3,1,6.0,POSITIVE
Mensos Tegaskan Program MBG Dongkrak Perekonomian Lokal https://t.co/nVDwKb2kN6 #MakanBergiziGratis #SaifullahYusuf #GusIpul #kemensosRI,mensos tegas dongkrak ekonomi lokal makan saifullah yusuf gus ipul kemensos ri,"['mensos', 'tegas', 'dongkrak', 'ekonomi', 'lokal', 'makan', 'saifullah', 'yusuf', 'gus', 'ipul', 'kemensos', 'ri']",0,0,0.0,NEUTRAL
Epi mengatakan standar gizi dalam menu MBG sudah dipantau oleh Deputi Pemantauan Pengawasan berdasarkan standar dari Kementerian Kesehatan untuk setiap jenjang usia penerima MBG. #makanbergizigratis #mbg #gizi https://t.co/NB0x03PNUq,epi kata standar menu pantau deputi pantau awas dasar standar menteri sehat jenjang usia terima,"['epi', 'kata', 'standar', 'menu', 'pantau', 'deputi', 'pantau', 'awas', 'dasar', 'standar', 'menteri', 'sehat', 'jenjang', 'usia', 'terima']",3,0,12.0,POSITIVE
Banyak Mitra Mundur Lantaran Telat Bayar Filep Minta BGN Evaluasi Program MBG https://t.co/4HHNo0V4h5 #mbg,banyak mitra mundur lantar telat bayar filep minta bgn evaluasi,"['banyak', 'mitra', 'mundur', 'lantar', 'telat', 'bayar', 'filep', 'minta', 'bgn', 'evaluasi']",2,5,-17.0,NEGATIVE
Program makan bergizi gratis sumbang pertumbuhan ekonomi nasional #PenuhiGiziIndonesia #MakanBergiziGratis https://t.co/Y5IqQMVIzU,makan sumbang tumbuh ekonomi nasional penuh indonesia makan,"['makan', 'sumbang', 'tumbuh', 'ekonomi', 'nasional', 'penuh', 'indonesia', 'makan']",1,2,-3.0,NEGATIVE
Kepala Badan Gizi Nasional Dadan Hindayana menyebut serangga bisa jadi opsi untuk protein di program Makan Bergizi Gratis (MBG). Berikut kata MUI terkait pandangan Islam dalam mengonsumsi serangga. #MakanBergiziGratis #MUI #Serangga https://t.co/MEm5jCQZdP,kepala badan nasional dad hindayana sebut serangga jadi opsi protein makan ikut kata mui kait pandang islam konsumsi serangga makan mui serangga,"['kepala', 'badan', 'nasional', 'dad', 'hindayana', 'sebut', 'serangga', 'jadi', 'opsi', 'protein', 'makan', 'ikut', 'kata', 'mui', 'kait', 'pandang', 'islam', 'konsumsi', 'serangga', 'makan', 'mui', 'serangga']",6,2,13.0,POSITIVE
Kunjungan ini turut didampingi oleh Tenaga Ahli Utama Deputi V KSP Joko Irianto serta jajaran pemerintah daerah dan pemangku kepentingan terkait. #MBG #MakanBergiziGratis #KSP,kunjung turut damping tenaga ahli utama deputi ksp joko irianto jajar pemerintah daerah mang penting kait makan ksp,"['kunjung', 'turut', 'damping', 'tenaga', 'ahli', 'utama', 'deputi', 'ksp', 'joko', 'irianto', 'jajar', 'pemerintah', 'daerah', 'mang', 'penting', 'kait', 'makan', 'ksp']",7,1,23.0,POSITIVE
Makan bergizi adalah fondasi utama dalam membangun generasi sehat cerdas dan produktif. Program makan bergizi gratis bukan hanya tentang menyediakan makanan tetapi juga tentang memberikan kesempatan bagi semua orang #IndonesiaSehat #DukungMBG #MakanBergiziGratis #SukseskanMBG https://t.co/E7ZwtxkMIu,makan fondasi utama bangun generasi sehat cerdas produktif makan bukan sedia makan beri sempat semua orang indonesia sehat dukung makan sukses,"['makan', 'fondasi', 'utama', 'bangun', 'generasi', 'sehat', 'cerdas', 'produktif', 'makan', 'bukan', 'sedia', 'makan', 'beri', 'sempat', 'semua', 'orang', 'indonesia', 'sehat', 'dukung', 'makan', 'sukses']",9,5,33.0,POSITIVE
