conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1995138372722172137,Sun Nov 30 14:30:30 +0000 2025,37,Banjir besar melanda wilayah Sumatera memaksa sekolah-sekolah tutup dan ribuan keluarga mengungsi. Di tengah situasi darurat ini ratusan dapur Makan Bergizi Gratis (MBG) bergerak cepat menyalurkan ratusan ribu paket makanan ke wilayah yang terisolasi. #detikcom #banjirsumut https://t.co/8cMTdf6bj7,1995138372722172137,https://pbs.twimg.com/amplify_video_thumb/1995136042131980288/img/ekL_fVSd1_A2gtVK.jpg,,in,,3,7,10,https://x.com/undefined/status/1995138372722172137,69183155,
1995134958852329607,Sun Nov 30 14:16:56 +0000 2025,0,SMA Negeri 1 Nabire ikut dapat makan bergizi gratis dan ini bikin happy banget. Senang lihat akses gizi makin merata hingga Papua. Semoga makin banyak sekolah yang ikut biar generasi makin sehat. https://t.co/hP782gdOcD https://t.co/Qo8oFVFXsL,1995134958852329607,https://pbs.twimg.com/media/G7Akl_GaIAAbIjz.png,,in,,24,0,0,https://x.com/undefined/status/1995134958852329607,1718450879517675520,
1995110673290805433,Sun Nov 30 12:40:26 +0000 2025,0,Memang kita lebih butuh sekolah gratis daripada makan bergizi gratis,1995110673290805433,,,in,,0,0,0,https://x.com/undefined/status/1995110673290805433,1226225287404212227,
1995101804363927956,Sun Nov 30 12:05:17 +0000 2025,0,Lewat dukungan pada SPPG untuk program Makan Bergizi Gratis rantai pasok dari bahan baku hingga distribusi bergerak bersama mendukung terciptanya petekonomian sirkuler dan menguatkan generasi emas Indonesia. #PLNUntukSemua #PLNUntukIndonesia https://t.co/IcuhCWNHKg,1995101826413363622,https://pbs.twimg.com/media/G7AGhpIa8AAyUXM.jpg,pln_uipmpa,in,,0,0,0,https://x.com/undefined/status/1995101826413363622,1894241872593522691,
1995081006349738374,Sun Nov 30 10:42:33 +0000 2025,0,Anggota Sat Samapta Melaksanakan Kegiatan Patroli Dialogis di SPPG Yayasan Bangun Bangsa Bersama dan Pengawalan Pendistribusian Makan Bergizi Gratis ke SMA PGRI 1 Tulungagung. https://t.co/TjnV8MZhog,1995081006349738374,https://pbs.twimg.com/amplify_video_thumb/1995080632448458752/img/aodG34ESMXGxpUaK.jpg,,in,,0,0,0,https://x.com/undefined/status/1995081006349738374,1665520412372144128,
1995036636158333154,Sun Nov 30 08:24:24 +0000 2025,0,@grok Menurut aku strategi sudah pas. Hanya saja pelaksanaannya akan membutuhkan waktu. Dimulai dengan program Makan Bergizi (MBG) Sekolah Rakyat memerangi korupsi secara massif sehingga hasil korupsi dapat digunakan negara untuk sektor pendidikan dan kesehatan. Ada tambahan?,1995046240174968860,,grok,in,,0,1,0,https://x.com/undefined/status/1995046240174968860,2556873745,
1995032389056090135,Sun Nov 30 07:29:22 +0000 2025,27,Bencana yang melanda Aceh beberapa hari terakhir ini membuat Satuan Pelayanan Pemenuhan Gizi (SPPG) Aceh mengalihkan sementara distribusi paket makan bergizi gratis. Tercatat sebanyak 52 SPPG Aceh telah membagikan 185.049 paket MBG kepada korban bencana. https://t.co/wztstQTg6r https://t.co/6oqbG6CepG,1995032389056090135,https://pbs.twimg.com/media/G6_HYYObkAARHn_.jpg,,in,,0,3,20,https://x.com/undefined/status/1995032389056090135,382522068,
1994677564049350832,Sun Nov 30 07:25:06 +0000 2025,0,@QianzyZ Contoh SD Muhammadiyah 10 tahun adakan makan bergizi SD muhammadiyah di solo cek di media online,1995031317311099370,,QianzyZ,in,,0,0,0,https://x.com/undefined/status/1995031317311099370,1406131242077065222,
1995138372722172137,Sun Nov 30 14:30:30 +0000 2025,37,Banjir besar melanda wilayah Sumatera memaksa sekolah-sekolah tutup dan ribuan keluarga mengungsi. Di tengah situasi darurat ini ratusan dapur Makan Bergizi Gratis (MBG) bergerak cepat menyalurkan ratusan ribu paket makanan ke wilayah yang terisolasi. #detikcom #banjirsumut https://t.co/8cMTdf6bj7,1995138372722172137,https://pbs.twimg.com/amplify_video_thumb/1995136042131980288/img/ekL_fVSd1_A2gtVK.jpg,,in,,3,7,10,https://x.com/undefined/status/1995138372722172137,69183155,
1995134958852329607,Sun Nov 30 14:16:56 +0000 2025,0,SMA Negeri 1 Nabire ikut dapat makan bergizi gratis dan ini bikin happy banget. Senang lihat akses gizi makin merata hingga Papua. Semoga makin banyak sekolah yang ikut biar generasi makin sehat. https://t.co/hP782gdOcD https://t.co/Qo8oFVFXsL,1995134958852329607,https://pbs.twimg.com/media/G7Akl_GaIAAbIjz.png,,in,,24,0,0,https://x.com/undefined/status/1995134958852329607,1718450879517675520,
1995110673290805433,Sun Nov 30 12:40:26 +0000 2025,0,Memang kita lebih butuh sekolah gratis daripada makan bergizi gratis,1995110673290805433,,,in,,0,0,0,https://x.com/undefined/status/1995110673290805433,1226225287404212227,
1995101804363927956,Sun Nov 30 12:05:17 +0000 2025,0,Lewat dukungan pada SPPG untuk program Makan Bergizi Gratis rantai pasok dari bahan baku hingga distribusi bergerak bersama mendukung terciptanya petekonomian sirkuler dan menguatkan generasi emas Indonesia. #PLNUntukSemua #PLNUntukIndonesia https://t.co/IcuhCWNHKg,1995101826413363622,https://pbs.twimg.com/media/G7AGhpIa8AAyUXM.jpg,pln_uipmpa,in,,0,0,0,https://x.com/undefined/status/1995101826413363622,1894241872593522691,
1995081006349738374,Sun Nov 30 10:42:33 +0000 2025,0,Anggota Sat Samapta Melaksanakan Kegiatan Patroli Dialogis di SPPG Yayasan Bangun Bangsa Bersama dan Pengawalan Pendistribusian Makan Bergizi Gratis ke SMA PGRI 1 Tulungagung. https://t.co/TjnV8MZhog,1995081006349738374,https://pbs.twimg.com/amplify_video_thumb/1995080632448458752/img/aodG34ESMXGxpUaK.jpg,,in,,0,0,0,https://x.com/undefined/status/1995081006349738374,1665520412372144128,
1995036636158333154,Sun Nov 30 08:24:24 +0000 2025,0,@grok Menurut aku strategi sudah pas. Hanya saja pelaksanaannya akan membutuhkan waktu. Dimulai dengan program Makan Bergizi (MBG) Sekolah Rakyat memerangi korupsi secara massif sehingga hasil korupsi dapat digunakan negara untuk sektor pendidikan dan kesehatan. Ada tambahan?,1995046240174968860,,grok,in,,0,1,0,https://x.com/undefined/status/1995046240174968860,2556873745,
1995032389056090135,Sun Nov 30 07:29:22 +0000 2025,27,Bencana yang melanda Aceh beberapa hari terakhir ini membuat Satuan Pelayanan Pemenuhan Gizi (SPPG) Aceh mengalihkan sementara distribusi paket makan bergizi gratis. Tercatat sebanyak 52 SPPG Aceh telah membagikan 185.049 paket MBG kepada korban bencana. https://t.co/wztstQTg6r https://t.co/6oqbG6CepG,1995032389056090135,https://pbs.twimg.com/media/G6_HYYObkAARHn_.jpg,,in,,0,3,20,https://x.com/undefined/status/1995032389056090135,382522068,
1994677564049350832,Sun Nov 30 07:25:06 +0000 2025,0,@QianzyZ Contoh SD Muhammadiyah 10 tahun adakan makan bergizi SD muhammadiyah di solo cek di media online,1995031317311099370,,QianzyZ,in,,0,0,0,https://x.com/undefined/status/1995031317311099370,1406131242077065222,
1995138372722172137,Sun Nov 30 14:30:30 +0000 2025,37,Banjir besar melanda wilayah Sumatera memaksa sekolah-sekolah tutup dan ribuan keluarga mengungsi. Di tengah situasi darurat ini ratusan dapur Makan Bergizi Gratis (MBG) bergerak cepat menyalurkan ratusan ribu paket makanan ke wilayah yang terisolasi. #detikcom #banjirsumut https://t.co/8cMTdf6bj7,1995138372722172137,https://pbs.twimg.com/amplify_video_thumb/1995136042131980288/img/ekL_fVSd1_A2gtVK.jpg,,in,,3,7,10,https://x.com/undefined/status/1995138372722172137,69183155,
