conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1972643376886624325,Tue Sep 30 23:52:58 +0000 2025,1,@somexthread Pny presiden setolol ini njirrrrr... Dia tinggal keluarkan peraturan MBG wajib dikelola sekolah lewat kantin di sekolah / salurkan lgsg ke orang tua siswa lgsg sls sudah permasalahan keracunan. Ini malah terkesan sengaja dibiarkan dan ngeyel...,1973174261591511391,,somexthread,in,,0,0,0,https://x.com/undefined/status/1973174261591511391,606859048,
1972642203488207035,Tue Sep 30 23:45:54 +0000 2025,11,@SueSunSeven @wafirh Its not even klarifikasi ya anjing dia aja di pidato ini masih aja membanggakan MBG. Belain aja tuh Prabowo kontol sampe anak Lo sendiri yg keracunan karna MBG asu,1973172484733280358,,SueSunSeven,in,,0,0,0,https://x.com/undefined/status/1973172484733280358,1160807971300843520,
1972997617857798182,Tue Sep 30 23:41:36 +0000 2025,6,Kasus keracunan massal menimpa ribuan anak di berbagai daerah terutama di Kabupaten Bandung Barat Jawa Barat. Hingga 25 September 2025 Dinas Kesehatan Bandung Barat mencatat 1.315 orang keracunan akibat MBG dari tiga peristiwa berbeda. https://t.co/R9eM8WJFTi https://t.co/SudJgQyVWn,1973171400786714953,https://pbs.twimg.com/media/G2Ic7b8aIAEmmqx.jpg,projectm_org,in,,1,1,4,https://x.com/undefined/status/1973171400786714953,1369663239718465538,
1972904242605183343,Tue Sep 30 23:35:14 +0000 2025,3,@tempodotco Sepertinya tdk ad yg bertanggungjawab kalau ada siswa yang keracunan. Saran saya kepala BGN harus setiap hari turun ke daerah untuk memakan langsung porsi MBG tsb sebelum di makan para siswa.,1973169797816098839,,tempodotco,in,,0,0,0,https://x.com/undefined/status/1973169797816098839,1604494299063672832,
1972997617857798182,Tue Sep 30 23:33:47 +0000 2025,14,Makanan Bergizi Gratis? https://t.co/R9eM8WJFTi https://t.co/8g7qn6cYl8,1973169433427472782,https://pbs.twimg.com/media/G2IbI3KaIAQHnbu.jpg,projectm_org,in,,0,1,4,https://x.com/undefined/status/1973169433427472782,1369663239718465538,
1973168689504723076,Tue Sep 30 23:30:49 +0000 2025,0,FYI di daerah gue yg balita udah dapet mbg dan anak gue otomatis dapet tapi gaboleh diambil sama suami katanya takut keracunan ,1973168689504723076,,,in,,0,0,0,https://x.com/undefined/status/1973168689504723076,1367861877976358912,
1973167796520624157,Tue Sep 30 23:27:17 +0000 2025,0,trs sedihnya masih ada aja yg mikir kalo keracunan itu disengaja sama pihak-pihak yg gasuka program tsb biar citranya jelek pdhl anak-anak yg keracunan mbg gatau apa apa,1973167796520624157,,,in,,0,0,0,https://x.com/undefined/status/1973167796520624157,1277604869579268101,
1973167305413763498,Tue Sep 30 23:25:19 +0000 2025,838,20 SISWA SDN 1 DI JAKTIM KERACUNAN MBG 5 ORANG SEMPAT MASUK IGD‼️ Sebanyak 20 siswa Sekolah Dasar Negeri (SDN) 01 Gedong Pasar Rebo Jakarta Timur mengalami keracunan diduga akibat mengonsumsi menu Makan Bergizi Gratis (MBG). Selasa (30/09/2025). Dari 20 siswa tersebut 5 https://t.co/FDLIqRBQsn,1973167305413763498,https://pbs.twimg.com/amplify_video_thumb/1973167285369249792/img/JKWpsMcXWYARHeme.jpg,,in,,63,92,575,https://x.com/undefined/status/1973167305413763498,121640063,
1972922922626113997,Tue Sep 30 23:14:41 +0000 2025,6,@EviDrajat Kmn org ini Saat ribuan anak sekolah keracunan MBG,1973164627791081855,,EviDrajat,in,,0,1,1,https://x.com/undefined/status/1973164627791081855,706500903147143168,
1973163229712097490,Tue Sep 30 23:09:08 +0000 2025,0,Mbg ga jelas menu masakan asal-asalan anak-anak pd ga suka jadinya food waste. Belum lagi kasus keracunan yang ga cuma sekali dua kali. Kenapa ga dihentikan aja sih? Perasaan gampang bgt buang-buang anggaran buat hal yg ga jelas.,1973163229712097490,,,in,,0,0,0,https://x.com/undefined/status/1973163229712097490,1234009350185709568,
