conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1905162133572350170,Sat Mar 29 15:38:42 +0000 2025,18,@neoretropolism @ainunnajib @BudiBukanIntel @footycinephile pantes ngeselin wong cilik ternyata kek admin parsoc btw kan jokowi tuh 175cm yah klo sepundak nya berarti 140an jirrrr kok bisa yahh cowok sependek itu sama ortu nya ga dikasih makan makanan bergizi kh minimal air tajin gitu,1906008119748206876,,neoretropolism,in,,0,0,0,https://x.com/undefined/status/1906008119748206876,1716768028397080576,
1903348702842065310,Sun Mar 23 00:17:17 +0000 2025,1,@LembagaKERIS Kalo kosong ya diisi lah kok malah merasa jadi pahlawan padahal beda tupoksi. Memang antek pemerintah itu sama ya logika nya contoh mbg: daripada memperbaiki taraf hidup orang tua biar bisa memberi makan anak yang bergizi eh malah anaknya yg langsung dikasi makan gratis,1903601911460446709,,LembagaKERIS,in,,0,0,0,https://x.com/undefined/status/1903601911460446709,1079244241849638912,
1900850442755862576,Sat Mar 15 10:03:56 +0000 2025,3,Gini ya kalau pun: - Program makan bergizi ternyata sukses - Danantara bikin makmur - Target pertumbuhan 8% tercapai - Ifan bisa bikin film bagus dan - Semua stafsus kerjaannya optimal Emang kalian tetep mau punya wapres kek gitu?,1900850442755862576,,,in,,2,1,3,https://x.com/undefined/status/1900850442755862576,326596269,
1891424402623054303,Mon Mar 10 21:16:20 +0000 2025,0,@Mulalt_ @prabowo @albertsamuel28 @jayapuraupdate @Dandhy_Laksono Kok bisa sampe segitunya sih? Padahal kan cuma aksi tolak program makan bergizi gratis doang,1899207719124640122,,Mulalt_,in,,0,0,0,https://x.com/undefined/status/1899207719124640122,2362222548,
1898900841937170839,Mon Mar 10 00:56:55 +0000 2025,0,Dia ni dr dulu orang berada kan ya? Kok kayane obsesi banget ngasih makan bergizi gratis alias MBG itu yg ternyata bisa dikorupsi dan blm adil merata? Apakah dulunya kurang makan bergizi?,1898900841937170839,,,in,,0,0,0,https://x.com/undefined/status/1898900841937170839,241561962,
1905162133572350170,Sat Mar 29 15:38:42 +0000 2025,18,@neoretropolism @ainunnajib @BudiBukanIntel @footycinephile pantes ngeselin wong cilik ternyata kek admin parsoc btw kan jokowi tuh 175cm yah klo sepundak nya berarti 140an jirrrr kok bisa yahh cowok sependek itu sama ortu nya ga dikasih makan makanan bergizi kh minimal air tajin gitu,1906008119748206876,,neoretropolism,in,,0,0,0,https://x.com/undefined/status/1906008119748206876,1716768028397080576,
1903348702842065310,Sun Mar 23 00:17:17 +0000 2025,1,@LembagaKERIS Kalo kosong ya diisi lah kok malah merasa jadi pahlawan padahal beda tupoksi. Memang antek pemerintah itu sama ya logika nya contoh mbg: daripada memperbaiki taraf hidup orang tua biar bisa memberi makan anak yang bergizi eh malah anaknya yg langsung dikasi makan gratis,1903601911460446709,,LembagaKERIS,in,,0,0,0,https://x.com/undefined/status/1903601911460446709,1079244241849638912,
1900850442755862576,Sat Mar 15 10:03:56 +0000 2025,3,Gini ya kalau pun: - Program makan bergizi ternyata sukses - Danantara bikin makmur - Target pertumbuhan 8% tercapai - Ifan bisa bikin film bagus dan - Semua stafsus kerjaannya optimal Emang kalian tetep mau punya wapres kek gitu?,1900850442755862576,,,in,,2,1,3,https://x.com/undefined/status/1900850442755862576,326596269,
1891424402623054303,Mon Mar 10 21:16:20 +0000 2025,0,@Mulalt_ @prabowo @albertsamuel28 @jayapuraupdate @Dandhy_Laksono Kok bisa sampe segitunya sih? Padahal kan cuma aksi tolak program makan bergizi gratis doang,1899207719124640122,,Mulalt_,in,,0,0,0,https://x.com/undefined/status/1899207719124640122,2362222548,
1898900841937170839,Mon Mar 10 00:56:55 +0000 2025,0,Dia ni dr dulu orang berada kan ya? Kok kayane obsesi banget ngasih makan bergizi gratis alias MBG itu yg ternyata bisa dikorupsi dan blm adil merata? Apakah dulunya kurang makan bergizi?,1898900841937170839,,,in,,0,0,0,https://x.com/undefined/status/1898900841937170839,241561962,
