conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1884807872254820798,Thu Jan 30 03:36:29 +0000 2025,0,Yang katanya mau cegah stunting lewat makan bergizi gratis. Yang katanya mau buka fakultas kedokteran lebih banyak. Tapi masalah kesehatan dan pendidikan ga jadi prioritas utama. APA KABAR INDONESIA? SUDAH GILAAAAAA ,1884807872254820798,,,in,,0,0,0,https://x.com/undefined/status/1884807872254820798,84815727,
1881658735707463784,Tue Jan 21 18:09:04 +0000 2025,2,@CNNIndonesia Mending buat yang penting dulu pak Makan Bergizi Gratis Lucu banget Makan Bergizi Gratis katanya anggaran gak cukup sampai mau ngambil dari cukai rokok tapi di satu sisi menggelontorkan anggaran untuk meneruskan proyek yg belum perlu,1881765972778127442,,CNNIndonesia,in,,0,0,0,https://x.com/undefined/status/1881765972778127442,123737267,
1880458031185686911,Sat Jan 18 17:50:03 +0000 2025,0,@TsamaraDKI Emg nyatanya apakah bergizi sis? Klo dibilang pelaksanaan masih ada kekurangan apakah pantas anak2 itu dijadikan kambing percobaan? Katanya mau memperbaiki gizi mereka? Klo cuma masih versi beta kasih aja ke pejabat buat makan klo uda full release baru dikasih ke anak2,1880674023409098816,,TsamaraDKI,in,,0,0,0,https://x.com/undefined/status/1880674023409098816,51651431,
1880232431397089591,Fri Jan 17 23:32:39 +0000 2025,2,@Mustlove2seok @darwinisacutie @tanyarlfes Ya pemerintah jg gk ngotak.ngasih dana cuma 10k.namanya makan bergizi gratis.ya seharusnya minim minimnya 20k per porsi biar jelas porsi dan gizinya.katanya ni progran buat nyegah stuntin.skrng malah buat ngajarin anak bersyukur.,1880397855179042861,,Mustlove2seok,in,,0,0,0,https://x.com/undefined/status/1880397855179042861,976099508940517376,
1880388694257070266,Fri Jan 17 22:56:15 +0000 2025,1,Harusnya @Gerindra Protes ke Jokowi kenapa mewariskan banyak Hutang yg mengakibatkan Kas Negara cekak. Tapi DEMI Janji Kampanye Makan Bergizi dipaksakanlah 10rb/porsi. Apa cukup gizinya? Berani jujur ga? Jgn bohong dech sdh kenyang 10 th kmrn. Setidaknya biaya 1 PROV selesai.,1880388694257070266,,,in,,0,0,1,https://x.com/undefined/status/1880388694257070266,1689127825440493568,
1880136721624420640,Fri Jan 17 13:06:03 +0000 2025,1,@ARSIPAJA Katanya mau kasih makan bergizi gratis tapi ini malah jadi Russian Roulette versi nasi kotak. Yang dapet bergizi bonus hoki yang dapet racun ya good luck,1880240167166112233,,ARSIPAJA,in,,0,0,0,https://x.com/undefined/status/1880240167166112233,1753284378661466112,
1879818088931266667,Fri Jan 17 03:15:51 +0000 2025,2,@softmufflerz @kompascom Kalo asal makan gratis tapi tidak bergizi gimana anak2nya mau cerdas?? Katanya menuju Indonesia emas??,1880091636111450424,,issukio,in,,0,0,0,https://x.com/undefined/status/1880091636111450424,1439956364197916679,
1879909849905111367,Thu Jan 16 22:51:28 +0000 2025,10,@OposisiCerdas Pemikiran presiden @prabowo kurang Amanah dipercaya rakyat tapi kianat Janji makan bergizi gratis tapi mau pakai Zakat ... apa tidak takut sama Alloh SWT,1880025104828231870,,OposisiCerdas,in,,0,0,1,https://x.com/undefined/status/1880025104828231870,62268535,
1879893620238778829,Thu Jan 16 14:37:04 +0000 2025,0,@RadioElshinta Dana Zakat kok diusulkan untuk membantu program makan bergizi gratis yang jelas itu bagian dari janji politik saat kampanye. Itu orang yang mengusulkan pasti cuma cari sensasi doank maunya kesohor tapi dia sendiri gak mau tekor. ,1879900683551543642,,RadioElshinta,in,,0,0,0,https://x.com/undefined/status/1879900683551543642,1226875580,
1878406590790881458,Sun Jan 12 12:06:58 +0000 2025,0,@txtdaritax @gg_02022020 katanya makanan bergizi tapi gak jelas gizi yg mau diberi apa belum riset apakah anak di indo kekurangan kalsium atau makan kelebihan karbo sehingga menu jg bisa disesuaikan standar gizi nya dengan target yg bisa dipantau oleh akademisi misal: kalsium sekian (dari susu) etc,1878413358585807260,,txtdaritaxpayer,in,,0,0,0,https://x.com/undefined/status/1878413358585807260,67281504,
